herramienta,conexion,endpoint,concurrency,vcpu,memory,volumen,latency,capacidad_procesamiento
test_apirest_sync,multiple-sync,large,1,0.1,0.125,0.9540653228759766,0.04981565475463867,19.151917757080913
test_apirest_async,multiple-async,heavy,1,0.1,0.125,95.37125587463379,0.8425197601318359,113.19764875272513
test_apirest_sync,multiple-sync,heavy,1,0.1,0.125,95.37125587463379,0.8314642906188965,114.70276829765551
test_apirest_sync,multiple-sync,file,1,0.1,0.125,0.1700592041015625,0.016805410385131836,10.119312781080199
test_apirest_async,multiple-async,simple,1,0.1,0.125,2.6702880859375e-05,0.009274721145629883,0.0028791033649520578
test_apirest_sync,multiple-sync,simple,1,0.1,0.125,2.6702880859375e-05,0.011968612670898438,0.0022310756972111555
test_apirest_async,multiple-async,large,1,0.1,0.125,0.9540653228759766,0.02975177764892578,32.06750649100875
test_apirest_sync,multiple-sync,large,1,0.1,0.125,0.9540653228759766,0.05199575424194336,18.34890822886384
test_apirest_async,multiple-async,heavy,1,0.1,0.125,95.37125587463379,0.7604105472564697,125.4207430692925
test_apirest_sync,multiple-sync,heavy,1,0.1,0.125,95.37125587463379,0.7334463596343994,130.03167119429625
test_apirest_sync,multiple-sync,file,1,0.1,0.125,0.1700592041015625,0.01677107810974121,10.140028147790114
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.007210731506347656,0.0037032138606004497
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.008383750915527344,0.003185075645546582
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.008394479751586914,0.003181004856712772
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.008560419082641602,0.003119342709928979
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.0069429874420166016,0.0038460217712303836
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.01369619369506836,0.0019496570692476413
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.013443231582641602,0.0019863438857852266
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.00867009162902832,0.0030798845043310875
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.010597467422485352,0.0025197417264730365
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.011117219924926758,0.0024019387076711918
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.0324552059173584,29.39637250508716
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.03138613700866699,30.397666415988695
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.035460710525512695,26.904856353331137
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.024298906326293945,39.263714591285066
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.033978939056396484,28.078137498421253
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.06371450424194336,14.9740680591832
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.050169944763183594,19.016670785256714
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.04135942459106445,23.067664318572234
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.03518986701965332,27.111933169373362
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.043242692947387695,22.06304135676203
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.6937947273254395,137.46321803610053
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.6646459102630615,143.49182685392077
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.5875461101531982,162.3213127047449
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.6378383636474609,149.5226084070201
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.6557924747467041,145.42901839712383
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.7827417850494385,121.84255101266899
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.7230484485626221,131.9016119379362
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.6824643611907959,139.74540107592657
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.6510882377624512,146.47977085623515
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.6633620262145996,143.76954378721234
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.02479243278503418,6.859318953330705
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.018332958221435547,9.2761463833329
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.01673412322998047,10.162420926654129
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.0184171199798584,9.233756650743718
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.01674365997314453,10.156632682121092
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.006027936935424805,0.004429854052129889
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.007707118988037109,0.0034647033347769596
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.007792234420776367,0.0034268579995716426
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.005974769592285156,0.004469273743016759
test_apirest_async,multiple-async,simple,5,0.1,0.125,2.6702880859375e-05,0.009032249450683594,0.0029563932002956393
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.009925365447998047,0.00269036752342061
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.00685429573059082,0.0038957876795714633
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.015634775161743164,0.0017079158851426568
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.013293266296386719,0.002008752421264079
test_apirest_sync,multiple-sync,simple,5,0.1,0.125,2.6702880859375e-05,0.009018421173095703,0.0029609263469571193
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.02959299087524414,32.239570744912264
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.02546238899230957,37.46959184246749
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.037094831466674805,25.71962953203031
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.0360722541809082,26.44873032029505
test_apirest_async,multiple-async,large,5,0.1,0.125,0.9540653228759766,0.02708721160888672,35.2219835932824
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.04624342918395996,20.631370547383725
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.03900861740112305,24.457809233928636
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.0390934944152832,24.404708178325304
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.038799285888671875,24.58976501818897
test_apirest_sync,multiple-sync,large,5,0.1,0.125,0.9540653228759766,0.0391387939453125,24.376461988304094
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.7349390983581543,129.7675631731828
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.6276960372924805,151.9385979972257
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.689091682434082,138.40140333395613
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.6548094749450684,145.64733639908684
test_apirest_async,multiple-async,heavy,5,0.1,0.125,95.37125587463379,0.6050209999084473,157.63296792849425
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.9825866222381592,97.0614231011968
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.6519644260406494,146.28291370714678
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.7616486549377441,125.21686378141017
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.83555006980896,114.14188008677858
test_apirest_sync,multiple-sync,heavy,5,0.1,0.125,95.37125587463379,0.7192068099975586,132.6061635525358
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.01920461654663086,8.85512104283054
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.018386125564575195,9.249322458083173
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.01755547523498535,9.686961009330055
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.018529415130615234,9.177796649424844
test_apirest_sync,multiple-sync,file,5,0.1,0.125,0.1700592041015625,0.021812915802001953,7.796261886544977
test_apirest_async,multiple-async,simple,10,0.1,0.125,2.6702880859375e-05,0.010066747665405273,0.002652582715581555
test_apirest_async,multiple-async,simple,10,0.1,0.125,2.6702880859375e-05,0.010269880294799805,0.002600116076610563
test_apirest_async,multiple-async,simple,10,0.1,0.125,2.6702880859375e-05,0.007380247116088867,0.0036181553868518818
test_apirest_async,multiple-async,simple,10,0.1,0.125,2.6702880859375e-05,0.013448953628540039,0.001985498767927104
